error_model,detection_outcome,avg_err,diff_vals_count
RANDOM_VALUE,TRUE_POSITIVE,2.73916517265166922258e-04,1024
RANDOM_VALUE,TRUE_POSITIVE,4.19594487004973371036e-03,4
RANDOM_VALUE,TRUE_POSITIVE,2.62727489083129935477e+30,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.78634226238729897448e+29,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.92038866770336730934e+55,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.45123907159263571342e+153,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.32590247421188581719e+211,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.97187716448050684388e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.84892240890998190978e+26,16777216
RANDOM_VALUE,TRUE_POSITIVE,9.62950722408207824899e+288,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.54777032532097964406e-08,8990935
RANDOM_VALUE,TRUE_POSITIVE,1.40893985779374685056e-05,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.23511005835137960724e-06,7620678
RANDOM_VALUE,TRUE_POSITIVE,2.81155287068979856151e+231,8192
RANDOM_VALUE,TRUE_POSITIVE,4.94967999009373962240e+19,512
RANDOM_VALUE,TRUE_POSITIVE,2.30082746794140090156e+141,2097152
RANDOM_VALUE,TRUE_POSITIVE,9.01328401999302109487e-07,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.24189610945909940763e-05,4246048
RANDOM_VALUE,TRUE_POSITIVE,4.31734820353551426299e+90,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.23425464772003562453e-05,65536
RANDOM_VALUE,TRUE_POSITIVE,1.68804697741412591950e-07,6489262
RANDOM_VALUE,TRUE_POSITIVE,6.99108804016522131860e+06,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.05215842201387191602e+284,2
RANDOM_VALUE,TRUE_POSITIVE,2.48150147248583832077e-03,256
RANDOM_VALUE,TRUE_POSITIVE,2.27290915624345061814e-05,5738286
RANDOM_VALUE,TRUE_POSITIVE,6.39615382855718723885e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.56493368648170538403e+45,262144
RANDOM_VALUE,TRUE_POSITIVE,1.65054915580073605704e-05,4645898
RANDOM_VALUE,TRUE_POSITIVE,3.53149034929093339277e-06,7483015
RANDOM_VALUE,TRUE_POSITIVE,4.09165001460010360766e+23,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.09613657834238781149e+224,16777216
RANDOM_VALUE,TRUE_POSITIVE,8.09277150253538873000e+270,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.65168909200333522876e+233,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.41823355330882269565e+78,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.81410808517461927962e+31,16777216
RANDOM_VALUE,TRUE_POSITIVE,6.12681265150743688139e-07,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.21926880914322652541e+227,16777216
RANDOM_VALUE,TRUE_POSITIVE,9.27184725203422871811e-04,512
RANDOM_VALUE,TRUE_POSITIVE,1.79364042604061859404e+266,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.00050243461379384513e+00,4
RANDOM_VALUE,TRUE_POSITIVE,3.01982670429018003393e+129,16777216
RANDOM_VALUE,TRUE_POSITIVE,9.38799192662895762837e-07,7803243
RANDOM_VALUE,TRUE_POSITIVE,6.40285543864649535366e+83,16777216
RANDOM_VALUE,TRUE_POSITIVE,5.96875293997768686941e+228,16777216
RANDOM_VALUE,TRUE_POSITIVE,6.54753110111449563358e+37,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.03217099114068039746e+293,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.46856747838495436434e+253,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.03188486092804144456e+257,8192
RANDOM_VALUE,TRUE_POSITIVE,4.77527916921770911704e+268,32
RANDOM_VALUE,TRUE_POSITIVE,1.07684567265119971351e+235,32
RANDOM_VALUE,TRUE_POSITIVE,7.55992956085041589568e-07,7386796
RANDOM_VALUE,TRUE_POSITIVE,7.62675157555562986402e-07,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.71576280025465779870e+74,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.30513769572318160620e-05,131072
RANDOM_VALUE,TRUE_POSITIVE,4.77886824381494500555e-06,9737652
RANDOM_VALUE,TRUE_POSITIVE,4.03465085275461346690e+296,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.12859540031896464204e-08,7067517
RANDOM_VALUE,TRUE_POSITIVE,2.33670683867899957188e+136,2048
RANDOM_VALUE,TRUE_POSITIVE,7.92062413403644751948e-06,8606888
RANDOM_VALUE,TRUE_POSITIVE,2.56959382640596930317e+65,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.05428571648906937755e+180,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.95232065175319108404e+179,2048
RANDOM_VALUE,TRUE_POSITIVE,2.09494045796136970365e+79,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.55838184934992164590e-05,1048576
RANDOM_VALUE,TRUE_POSITIVE,3.03305161316004723873e-06,7594620
RANDOM_VALUE,TRUE_POSITIVE,8.87785386557482862846e-08,7451487
RANDOM_VALUE,TRUE_POSITIVE,1.29409051026338191426e+86,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.75893291163008868143e+166,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.58937157368940895905e+203,32768
RANDOM_VALUE,TRUE_POSITIVE,8.12627414889609115713e-05,2048
RANDOM_VALUE,TRUE_POSITIVE,1.25857789746668898100e-06,4194304
RANDOM_VALUE,TRUE_POSITIVE,1.04817409589731414123e-05,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.60117778464447825617e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.70573269100679920161e+166,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.23071619462681586461e+266,16777216
RANDOM_VALUE,TRUE_POSITIVE,6.95169853554819311067e-06,1938243
RANDOM_VALUE,TRUE_POSITIVE,1.77949954798651925874e-04,8192
RANDOM_VALUE,TRUE_POSITIVE,1.80685627412839940899e+108,4096
RANDOM_VALUE,TRUE_POSITIVE,1.24123415581302429683e+158,131072
RANDOM_VALUE,TRUE_POSITIVE,2.98270905597594712408e+23,16777216
RANDOM_VALUE,TRUE_POSITIVE,6.78113604385685902996e+173,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.99868195328056889350e-04,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.05864013384536645051e+52,4096
RANDOM_VALUE,TRUE_POSITIVE,3.19180178822347875764e+132,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.46937826274465598418e+52,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.26790227161061926461e+134,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.94103513317365172774e-03,16
RANDOM_VALUE,TRUE_POSITIVE,4.88014520531541098636e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.00244237875540116878e-07,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.77958389138570289580e+173,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.08945470141224370677e+234,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.48300050199051295416e+218,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.92695156213510668892e-05,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.51811012285095763568e+85,32
RANDOM_VALUE,TRUE_POSITIVE,5.81700786765434954075e+82,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.58810420410173623008e+55,16777216
RANDOM_VALUE,TRUE_POSITIVE,5.77585718087145205679e-03,8
RANDOM_VALUE,TRUE_POSITIVE,3.36086568795283162028e-06,4876979
RANDOM_VALUE,TRUE_POSITIVE,8.36774195654120375362e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.73020984831085951425e-06,4120442
RANDOM_VALUE,TRUE_POSITIVE,1.73018480255839311382e+54,65536
RANDOM_VALUE,TRUE_POSITIVE,4.23299937890647731447e+40,16777216
RANDOM_VALUE,TRUE_POSITIVE,9.85068304195891093929e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,8.95073558641096666123e-06,1048576
RANDOM_VALUE,TRUE_POSITIVE,7.47079869384185937920e+19,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.31347391441461329670e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.04994785363774788856e+140,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.66259402399157242219e+219,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.61371224818796868587e+194,4096
RANDOM_VALUE,TRUE_POSITIVE,1.63955377597547243690e-03,2048
RANDOM_VALUE,TRUE_POSITIVE,1.42238108500475916629e-05,16777216
