==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 7.95380010244115985909e+209; MIN: 4.23088519925601453554e+209; AVG: 5.48323283116129722127e+209
    * MAX: 1.82812338591491746456e+273; MIN: 2.03144818476974980390e+270; AVG: 6.60120155582657628259e+272
    * MAX: 1.91026407780903184630e-06; MIN: 1.88557363056673921164e-08; AVG: 7.51404799750835583783e-07
    * MAX: 8.60380357845621908852e+281; MIN: 1.00000000000000000000e+00; AVG: 1.03735557583596714103e+280
    * MAX: 3.89890269548096094371e+39; MIN: 1.33696881971387796775e+39; AVG: 2.21507045126801036369e+39
    * MAX: 4.75043555387454413589e+294; MIN: 4.45808944640001744853e+294; AVG: 4.56802137752971488879e+294
    * MAX: 7.46441264487729517413e+45; MIN: 1.01326040914003067554e+43; AVG: 1.55801419627361203763e+45
    * MAX: 6.87752518602202655984e-07; MIN: 3.65837953486547462489e-07; AVG: 4.74126473005932766161e-07
    * MAX: 2.30392119439431043028e+77; MIN: 1.55505149423643837000e+74; AVG: 5.13285824321308245599e+76
    * MAX: 1.16476943900955357299e+191; MIN: 6.32186904691681456869e+189; AVG: 4.93393374764746251416e+190
    * MAX: 2.35386632640000037497e-04; MIN: 1.11022302462515654042e-16; AVG: 6.24495367922163266004e-06
    * MAX: 2.15071056399729343411e-05; MIN: 1.09456419483677791504e-08; AVG: 5.99220334809274148978e-06
    * MAX: 1.11688781901140843367e-01; MIN: 5.94108989643122864521e-02; AVG: 7.69966038755296039442e-02
    * MAX: 8.02393112294454466452e+140; MIN: 2.65579029199404414194e+140; AVG: 4.48674297960744029679e+140
    * MAX: 7.84349830163979042816e+21; MIN: 1.58286792158966022144e+20; AVG: 2.90795288737366042214e+21
    * MAX: 4.18225449239084667852e-06; MIN: 3.97897802706381753524e-07; AVG: 1.25588535913136279720e-06
    * MAX: 2.99022178038432193320e+97; MIN: 2.55377709742528091604e+97; AVG: 2.76147858550384487431e+97
    * MAX: 1.90744055444258384849e+162; MIN: 1.48283365606328407784e+158; AVG: 3.42626804176572109471e+161
    * MAX: 2.08918383803721203927e+189; MIN: 1.00000000000000000000e+00; AVG: 4.35769058157775376973e+185
    * MAX: 1.37107116962906363820e+244; MIN: 7.29317388417877989569e+243; AVG: 9.45196302942301631907e+243
    * MAX: 3.91240895851741043998e-05; MIN: 3.30776159774837097416e-05; AVG: 3.59705701581574180392e-05
    * MAX: 1.71917331873136049580e+02; MIN: 9.58662511620844703941e-03; AVG: 2.66280999287864332814e+01
    * MAX: 6.62472406926400025372e+236; MIN: 1.00000000000000000000e+00; AVG: 7.12169375448103189283e+232
    * MAX: 2.28320571414985703424e+21; MIN: 2.78319038951730774016e+20; AVG: 9.72416235109862342656e+20
    * MAX: 1.21047262018336709843e-05; MIN: 9.88028702519905266399e-07; AVG: 4.60196623847837612344e-06
    * MAX: 1.16204328641233978203e-04; MIN: 6.69231215597587691946e-05; AVG: 8.67076115942328807563e-05
    * MAX: 3.18566500006722819194e-04; MIN: 2.41422506069399744888e-04; AVG: 2.73916517265166922258e-04
    * MAX: 4.23317953376800559795e-03; MIN: 4.17089786106772386631e-03; AVG: 4.19594487004973371036e-03
    * MAX: 1.00095573415579520977e+35; MIN: 1.00000000000000000000e+00; AVG: 2.62727489083129935477e+30
    * MAX: 5.26412687894852700875e+34; MIN: 1.00000000000000000000e+00; AVG: 3.78634226238729897448e+29
    * MAX: 1.02471662896830935920e+56; MIN: 2.68168331794585487412e+50; AVG: 1.92038866770336730934e+55
