==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 3.04187078753770379080e-02; MIN: 2.00756434959488139214e-02; AVG: 2.39014968826867513219e-02
    * MAX: 5.84556998473040323461e-07; MIN: 4.56794446712649460096e-09; AVG: 2.16525196804063744614e-07
    * MAX: 8.74426145089923778642e-05; MIN: 5.54307403826115319134e-05; AVG: 6.89258340365124424348e-05
    * MAX: 3.13683133912334710658e-07; MIN: 1.62222679733758923248e-10; AVG: 7.29503696294770378464e-08
    * MAX: 1.60164052687150615384e-07; MIN: 9.53984800045049041728e-08; AVG: 1.22296981510655448401e-07
    * MAX: 4.31411256229807804630e-06; MIN: 3.88165062448209141621e-06; AVG: 4.11455417343234430838e-06
    * MAX: 1.37397980237707884044e-06; MIN: 7.61936166937537961985e-07; AVG: 9.79239446001257024576e-07
    * MAX: 4.40695023409332087283e-03; MIN: 1.11022302462515654042e-16; AVG: 6.42618297217896217609e-08
    * MAX: 3.69360423665421322426e-05; MIN: 2.58826396073441600265e-05; AVG: 3.09071288218380378025e-05
    * MAX: 5.00105690415253434367e-07; MIN: 2.66022496919759987577e-07; AVG: 3.44765509028615258418e-07
    * MAX: 5.98850823885221927867e-06; MIN: 1.58348616441372769259e-07; AVG: 2.16972873045787465729e-06
    * MAX: 6.58799341839024418732e+04; MIN: 6.51936590158775434247e+04; AVG: 6.55367965998899890110e+04
    * MAX: 2.76918563708594689388e-05; MIN: 1.58592295420589834976e-05; AVG: 2.03710064444669171162e-05
    * MAX: 2.37692618543228206818e-06; MIN: 1.70354344197765072977e-06; AVG: 1.97436416798346648337e-06
    * MAX: 1.35105228882571446225e+305; MIN: 1.16379443569815608562e+305; AVG: 1.25065608053981502832e+305
    * MAX: 4.90379083901593126882e-04; MIN: 3.81234617508052764379e-06; AVG: 1.81008918125782404009e-04
    * MAX: 6.36744837301250754535e-07; MIN: 1.11022302462515654042e-16; AVG: 3.95212760390463881099e-08
    * MAX: 3.53401270016817647956e-05; MIN: 1.11022302462515654042e-16; AVG: 8.87084643653600963896e-09
    * MAX: 2.46067822617934695018e-06; MIN: 1.56537074280649335378e-06; AVG: 1.96235611330766141045e-06
