benchmark,error_model,detection_outcome,relative_sum
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.016783779480198935
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.407835833485313e+37
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,6.352428198600038e+36
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.2218775482011626e+62
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.4347751371749116e+160
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.9022168204787246e+218
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,33.082609113957
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.3168306662152311e+34
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.6155632267198554e+296
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.6786151238988978
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,236.38088325214977
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,17.03305404925708
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.3032241116690835e+235
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.534236154927995e+22
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.8251849260482455e+147
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,15.121781287277123
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,52.7315049177659
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.243308335792729e+97
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.8088811259298025
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.0954179104748347
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,117290994124868.6
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,6.104316844027748e+284
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.6352643769563746
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,130.42602790543603
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,107.3096543509309
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,6.723819763090602e+50
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,76.68283021836328
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,26.426195256099295
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,6.864649609134908e+30
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.5167336140351176e+231
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.3577417553668084e+278
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.7710744661383835e+240
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.2445730666230966e+86
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,6.399011519232098e+38
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,10.2790859245873
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.0455936173058697e+234
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.4747185793041525
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.0092292854015493e+273
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.002009738455175
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,5.066428490044448e+136
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.325678228552391
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.07422088710947e+91
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.0013905732464072e+236
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.0984934355011573e+45
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,5.08713876673013e+300
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.497012179543972e+260
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,8.45320078072252e+260
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.5280893341496676e+270
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.4459061524838404e+236
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,5.584365744037161
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,12.79556585614371
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.911737110463725e+81
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,9.574990080538289
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,46.53495591212108
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,6.769020884124836e+303
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.22111401177876083
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.785575605614592e+139
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,68.1719248117487
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.311063065787946e+72
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.7687979191251875e+187
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.628635269479054e+183
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.514726857035682e+86
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,26.826578060639438
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,23.034874442337557
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.661532126672306
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.171123601423898e+93
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,6.306442938792695e+173
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,5.208052772665455e+207
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.16642609456939195
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,5.278858309656124
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,175.85443212473947
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,26.86330554738189
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.8617445795282344e+173
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.0647991431952136e+273
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,13.474081024636533
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.4577660297105564
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.400883298829925e+111
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.6269104327072475e+163
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,5.004155409726456e+30
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.1376858413317202e+181
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,8386.396684549001
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.336189988230621e+55
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,5.354954803021157e+139
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.142929249977185e+59
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.2193516627770207e+142
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.12705656213077846
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,81.875250220941
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,5.037262431593316
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,8.018811133589851e+180
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.5055232847808735e+241
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.165783575000328e+225
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,491.060985794781
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.8579523931230644e+86
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,9.759319746933645e+89
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.3421183262722915e+62
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.046206857446971616
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,16.390871381966516
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,140.38741423715442
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.129229327793696
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.1338939122046687e+59
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.1017944907779806e+47
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,165.26703714248174
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,9.385526518256468
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.2533920337910274e+27
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,38.813651572499474
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.761520192921689e+147
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.467091506081582e+226
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.0705765368577922e+198
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.3578061331977667
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,238.63594697439206
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,9.425052048608143e+200
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.8555063225948604e+303
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,8.82949856147023
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,200.70625307574556
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.4015809912825824e+169
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.4336541168948185
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.8944811208139477e+216
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,8.982130412964877e+278
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.449215903569974e+235
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,129.38816177291858
