==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 2.08935928387443681231e-05; MIN: 1.11625684564575777813e-05; AVG: 1.44031375335574873288e-05
    * MAX: 7.32364085962444733013e-05; MIN: 4.49924599799089719454e-08; AVG: 1.58111837912563923058e-05
    * MAX: 4.66793410687671439518e-04; MIN: 1.11022302462515654042e-16; AVG: 6.57641822934011443028e-06
    * MAX: 6.00889550339545053248e-08; MIN: 1.11022302462515654042e-16; AVG: 1.70013460944596210010e-08
    * MAX: 4.26058546443286445538e-07; MIN: 1.03602071366282189047e-08; AVG: 1.20855788232008576715e-07
    * MAX: 9.10857227098826882639e-05; MIN: 5.80271402900178756568e-05; AVG: 7.20812771050002989515e-05
    * MAX: 6.87747143500172519737e-04; MIN: 1.99792942745524726433e-07; AVG: 1.19550607792881852438e-04
    * MAX: 1.01799826953008487607e-03; MIN: 5.46050414884646784230e-08; AVG: 1.66798443046280365403e-04
    * MAX: 4.02481388266373585338e-05; MIN: 1.11022302462515654042e-16; AVG: 1.97675478940748518102e-06
    * MAX: 3.36318225366100779646e+148; MIN: 1.78898612438696365691e+148; AVG: 2.31852839057335604608e+148
    * MAX: 2.38648067565350174846e-05; MIN: 6.50665131773919824809e-08; AVG: 5.94880352696458840518e-06
    * MAX: 5.56893768888233609005e-06; MIN: 3.30762470857060009166e-06; AVG: 4.22109334778012224032e-06
    * MAX: 4.18802812429674986561e-08; MIN: 3.52035067763267761620e-11; AVG: 1.49521216179514864260e-08
    * MAX: 1.68879315483594361069e-04; MIN: 1.16410766017205347111e-04; AVG: 1.37755347585744513869e-04
    * MAX: 7.29417489868065516018e+304; MIN: 6.11062729923407646050e+304; AVG: 6.70614300370631521670e+304
    * MAX: 2.06185342783715697124e-05; MIN: 1.44589382502502417083e-05; AVG: 1.71221777243206149145e-05
    * MAX: 9.07812438479390402790e+03; MIN: 1.11022302462515654042e-16; AVG: 1.38964824506010877769e+01
    * MAX: 3.12344197173075599494e-08; MIN: 2.62825317065562558128e-11; AVG: 1.12139509637543993706e-08
    * MAX: 2.49407121164502143529e-05; MIN: 1.27545053407729369610e-08; AVG: 6.33035333436704722947e-06
    * MAX: 6.11142268913122954643e-04; MIN: 4.14922298169528858125e-04; AVG: 4.90292102749575152421e-04
    * MAX: 2.05904973071824315412e-08; MIN: 1.09527557023980648410e-08; AVG: 1.41947860964300691608e-08
    * MAX: 7.71649469100132989752e-07; MIN: 4.32684321705067986841e-07; AVG: 5.58338232715589952024e-07
    * MAX: 4.00994397263903188705e+09; MIN: 2.13301973712883496284e+09; AVG: 2.76439640910128307343e+09
    * MAX: 5.14214620114095133374e-03; MIN: 4.49536588968335593108e-03; AVG: 4.82372431519948255407e-03
    * MAX: 3.62435045286879642390e-06; MIN: 1.92790999165026732953e-06; AVG: 2.49857390669107776396e-06
    * MAX: 4.71424713488488578150e-07; MIN: 1.64606595021155044378e-09; AVG: 1.12880037454291778790e-07
    * MAX: 6.00754021486293865451e-04; MIN: 4.82472882104678646442e-04; AVG: 5.38321183959676510117e-04
    * MAX: 4.14907467267688900847e-05; MIN: 1.11022302462515654042e-16; AVG: 1.03722616773614369977e-05
    * MAX: 3.07501320251368781555e-06; MIN: 1.63530691210667100677e-08; AVG: 9.46888865095593216301e-07
    * MAX: 5.83399012858443200003e-03; MIN: 7.39394545590243978950e-09; AVG: 9.23729427611956238793e-04
    * MAX: 9.27634093099261036741e-04; MIN: 6.22194209709658885288e-04; AVG: 7.56781686278936121907e-04
    * MAX: 2.62357888144666429042e-02; MIN: 1.57365413671892717673e-02; AVG: 1.93385198484303105770e-02
    * MAX: 1.12266262171090147604e-05; MIN: 4.34889143585692750094e-08; AVG: 2.86599996942237716910e-06
    * MAX: 2.17133091506838127316e-08; MIN: 8.56838133778126120887e-09; AVG: 1.29950072068008479230e-08
    * MAX: 2.31178153173861034020e-05; MIN: 1.22971185353426548659e-05; AVG: 1.59370819357884255317e-05
    * MAX: 1.71360017131583219907e-06; MIN: 5.40339395449507264857e-09; AVG: 3.20392112315490613593e-07
    * MAX: 1.40947035624025127287e+111; MIN: 7.11486746907738029321e+109; AVG: 4.35860798318098308688e+110
    * MAX: 2.20302996831733821637e-05; MIN: 1.22168332230554455009e-05; AVG: 1.57010593760422274790e-05
    * MAX: 2.61593117420577669918e-04; MIN: 1.90986219166910942135e-04; AVG: 2.24815036305926968865e-04
    * MAX: 1.01010739661511195209e-06; MIN: 6.84307521758853454230e-09; AVG: 2.51641109023740899059e-07
